area,areacode,survey_year,population_persons,total_households,av_people_per_household,md_people_per_household,total_vehicles,av_vehicles_per_household,md_vehicles_per_household,total_bicycles,av_bicycles_per_household,md_bicycles_per_household
Brisbane (C),31000,2003,414832,153625,2.7,-1,237371,1.5,-1,149758,1,-1
Brisbane (C),31000,2004,505014,187337,2.7,-1,293731,1.6,-1,176781,0.9,-1
Brisbane (C),31000,2006,966277,358509,2.7,-1,587309,1.6,-1,426918,1.2,-1
Bundaberg (R),31820,2010,79478,28659,2.8,-1,50919,1.8,-1,35820,1.2,-1
Fraser Coast (R),33220,2010,88246,33167,2.7,-1,55755,1.7,-1,43127,1.3,-1
Gold Coast (C),33430,2004,421572,149161,2.8,-1,249608,1.7,-1,157127,1.1,-1
Gold Coast (C),33430,2008,467685,164888,2.8,-1,294969,1.8,-1,197641,1.2,-1
Ipswich (C),33960,2003,55637,19964,2.8,-1,32016,1.6,-1,17093,0.9,-1
Ipswich (C),33960,2004,76494,24659,3.1,-1,48569,2,-1,27155,1.1,-1
Ipswich (C),33960,2006,84663,33252,2.5,-1,42352,1.3,-1,22040,0.7,-1
Logan (C),34590,2003,111407,36272,3.1,-1,60886,1.7,-1,37691,1,-1
Logan (C),34590,2004,129352,40842,3.2,-1,79927,2,-1,51384,1.3,-1
Logan (C),34590,2006,301607,93579,3.2,-1,178031,1.9,-1,129626,1.4,-1
Logan (C),34590,2008,98359,32974,3,-1,54999,1.7,-1,37413,1.1,-1
Moreton Bay (R),35010,2003,133951,46542,2.9,-1,79540,1.7,-1,57881,1.2,-1
Moreton Bay (R),35010,2004,172636,59302,2.9,-1,102478,1.7,-1,63121,1.1,-1
Moreton Bay (R),35010,2006,333986,115379,2.9,-1,208568,1.8,-1,144171,1.2,-1
Redland (C),36250,2003,51988,16462,3.2,-1,30911,1.9,-1,25442,1.5,-1
Redland (C),36250,2004,65639,23303,2.8,-1,36726,1.6,-1,24654,1.1,-1
Redland (C),36250,2006,38195,12427,3.1,-1,22411,1.8,-1,12999,1,-1
Sunshine Coast (R),36710,2004,271227,97601,2.8,-1,161068,1.7,-1,104234,1.1,-1
Sunshine Coast (R),36710,2007,295541,106435,2.8,-1,181955,1.7,-1,136759,1.3,-1
Toowoomba (R),36910,2012,141903,52205,2.7,-1,91168,1.7,-1,50650,1,-1
No usual address (Qld),39499,2004,412,180,2.3,-1,273,1.5,-1,452,2.5,-1
Brisbane (C),31000,2009,1349196,495466,2.7,-1,806134,1.6,-1,-1,-1,-1
Brisbane (C),31000,2011,209570,74991,2.8,-1,132662,1.8,-1,-1,-1,-1
Brisbane (C),31000,2012,463707,190782,2.4,-1,310612,1.6,-1,-1,-1,-1
Gold Coast (C),33430,2009,636243,295642,2.2,-1,545863,1.8,-1,-1,-1,-1
Gold Coast (C),33430,2010,31191,11141,2.8,-1,19748,1.8,-1,-1,-1,-1
Gold Coast (C),33430,2011,44791,18858,2.4,-1,33345,1.8,-1,-1,-1,-1
Gold Coast (C),33430,2012,82388,37403,2.2,-1,59785,1.6,-1,-1,-1,-1
Ipswich (C),33960,2009,145497,58188,2.5,-1,101496,1.7,-1,-1,-1,-1
Ipswich (C),33960,2010,92498,33961,2.7,-1,66256,2,-1,-1,-1,-1
Ipswich (C),33960,2011,21268,7566,2.8,-1,13888,1.8,-1,-1,-1,-1
Ipswich (C),33960,2012,67597,29480,2.3,-1,49822,1.7,-1,-1,-1,-1
Logan (C),34590,2009,205771,64886,3.2,-1,126415,1.9,-1,-1,-1,-1
Logan (C),34590,2011,34794,11710,3,-1,22846,2,-1,-1,-1,-1
Logan (C),34590,2012,231381,83542,2.8,-1,157849,1.9,-1,-1,-1,-1
Moreton Bay (R),35010,2009,439322,160208,2.7,-1,285451,1.8,-1,-1,-1,-1
Moreton Bay (R),35010,2011,59872,25015,2.4,-1,39649,1.6,-1,-1,-1,-1
Moreton Bay (R),35010,2012,233424,79943,2.9,-1,155908,2,-1,-1,-1,-1
Redland (C),36250,2009,105853,39095,2.7,-1,76135,1.9,-1,-1,-1,-1
Redland (C),36250,2011,82222,31165,2.6,-1,62890,2,-1,-1,-1,-1
Redland (C),36250,2012,101175,34102,3,-1,67821,2,-1,-1,-1,-1
Sunshine Coast (R),36710,2009,530643,203029,2.6,-1,368833,1.8,-1,-1,-1,-1
Sunshine Coast (R),36710,2011,25321,9842,2.6,-1,18205,1.8,-1,-1,-1,-1
Sunshine Coast (R),36710,2012,48315,22385,2.2,-1,37994,1.7,-1,-1,-1,-1
No usual address (Qld),39499,2009,1449,328,4.4,-1,787,2.4,-1,-1,-1,-1
Isaac (R),33980,2011,20317,6626,3.1,-1,15787,2.4,-1,9408,1.4,-1
Mackay (R),34770,2011,30839,11156,2.8,-1,26527,2.4,-1,9175,0.8,-1
Whitsunday (R),37340,2011,29215,10864,2.7,-1,20122,1.9,-1,7830,0.7,-1
